"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2016","2,102.95","2,099.34","2,108.71","2,097.90","","0.19%"
"06/30/2016","2,098.86","2,073.17","2,098.94","2,070.00","","1.36%"
"06/29/2016","2,070.77","2,042.69","2,073.13","2,042.69","","1.70%"
"06/28/2016","2,036.09","2,006.67","2,036.09","2,006.67","","1.78%"
"06/27/2016","2,000.54","2,031.45","2,031.45","1,991.68","","-1.81%"
"06/24/2016","2,037.41","2,103.81","2,103.81","2,032.57","","-3.59%"
"06/23/2016","2,113.32","2,092.80","2,113.32","2,092.80","","1.34%"
"06/22/2016","2,085.45","2,089.75","2,099.71","2,084.36","","-0.17%"
"06/21/2016","2,088.90","2,085.19","2,093.66","2,083.02","","0.27%"
"06/20/2016","2,083.25","2,075.58","2,100.66","2,075.58","","0.58%"
"06/17/2016","2,071.22","2,078.20","2,078.20","2,062.84","","-0.33%"
"06/16/2016","2,077.99","2,066.36","2,079.62","2,050.37","","0.31%"
"06/15/2016","2,071.50","2,077.60","2,085.65","2,069.80","","-0.18%"
"06/14/2016","2,075.32","2,076.65","2,081.30","2,064.10","","-0.18%"
"06/13/2016","2,079.06","2,091.75","2,098.12","2,078.46","","-0.81%"
"06/10/2016","2,096.07","2,109.57","2,109.57","2,089.96","","-0.92%"
"06/09/2016","2,115.48","2,115.65","2,117.64","2,107.73","","-0.17%"
"06/08/2016","2,119.12","2,112.71","2,120.55","2,112.71","","0.33%"
"06/07/2016","2,112.13","2,110.18","2,119.22","2,110.18","","0.13%"
"06/06/2016","2,109.41","2,100.83","2,113.36","2,100.83","","0.49%"
"06/03/2016","2,099.13","2,104.07","2,104.07","2,085.36","","-0.29%"
"06/02/2016","2,105.26","2,097.71","2,105.26","2,088.59","","0.28%"
"06/01/2016","2,099.33","2,093.94","2,100.97","2,085.10","","0.11%"
"05/31/2016","2,096.96","2,100.13","2,103.48","2,088.66","","-0.10%"
"05/27/2016","2,099.06","2,090.06","2,099.06","2,090.06","","0.43%"
"05/26/2016","2,090.10","2,091.44","2,094.30","2,087.08","","-0.02%"
"05/25/2016","2,090.54","2,078.93","2,094.73","2,078.93","","0.70%"
"05/24/2016","2,076.06","2,052.65","2,079.67","2,052.65","","1.37%"
"05/23/2016","2,048.04","2,052.23","2,055.58","2,047.26","","-0.21%"
"05/20/2016","2,052.32","2,041.88","2,058.35","2,041.88","","0.60%"
"05/19/2016","2,040.04","2,044.21","2,044.21","2,025.91","","-0.37%"
"05/18/2016","2,047.63","2,044.38","2,060.61","2,034.49","","0.02%"
"05/17/2016","2,047.21","2,065.04","2,065.69","2,040.82","","-0.94%"
"05/16/2016","2,066.66","2,046.53","2,071.88","2,046.53","","0.98%"
"05/13/2016","2,046.61","2,062.50","2,066.79","2,043.13","","-0.85%"
"05/12/2016","2,064.11","2,067.17","2,073.99","2,053.13","","-0.02%"
"05/11/2016","2,064.46","2,083.29","2,083.29","2,064.46","","-0.96%"
"05/10/2016","2,084.39","2,062.63","2,084.87","2,062.63","","1.25%"
"05/09/2016","2,058.69","2,057.55","2,064.15","2,054.31","","0.08%"
"05/06/2016","2,057.14","2,047.77","2,057.72","2,039.45","","0.32%"
"05/05/2016","2,050.63","2,052.95","2,060.23","2,045.77","","-0.02%"
"05/04/2016","2,051.12","2,060.30","2,060.30","2,045.55","","-0.59%"
"05/03/2016","2,063.37","2,077.18","2,077.18","2,054.89","","-0.87%"
"05/02/2016","2,081.43","2,067.17","2,083.42","2,066.11","","0.78%"
"04/29/2016","2,065.30","2,071.82","2,073.85","2,052.28","","-0.51%"
"04/28/2016","2,075.81","2,090.93","2,099.30","2,071.62","","-0.92%"
"04/27/2016","2,095.15","2,092.33","2,099.89","2,082.31","","0.16%"
"04/26/2016","2,091.70","2,089.84","2,096.87","2,085.80","","0.19%"
